time,U1,U2,U3,U4
2018-01-01 04:00:00,1902.30870375875,3856.66761220229,3308.43034188873,
2018-01-01 08:00:00,1902.32366792163,3894.74508490442,3210.27992473876,
2018-01-01 12:00:00,1904.80291028496,3835.443172156,3620.74004390156,
2018-01-01 16:00:00,1858.58720732294,3900.41066895758,2498.23397485477,
2018-01-01 20:00:00,1893.67015180103,3793.52775650741,3429.86096511354,
2018-01-02 00:00:00,1785.11530828512,3560.82276485992,1605.45241833437,
2018-01-02 04:00:00,1810.19601872395,3404.51385103697,1455.68948913885,
2018-01-02 08:00:00,1824.98192729105,3559.56062871792,2907.1486194864,
2018-01-02 12:00:00,1843.70981324481,3488.53293063352,2486.58481659858,
2018-01-02 16:00:00,1777.71818053463,3256.79796802167,1186.84944899201,
2018-01-02 20:00:00,1732.89756935953,2630.48257551465,1809.46030716668,
2018-01-03 00:00:00,1763.52814040521,2892.28310884216,2177.45140041233,
2018-01-03 04:00:00,1790.28192318029,2846.24672488737,2156.49595441589,
2018-01-03 08:00:00,1805.27039617574,2855.05037214791,1667.09278644521,
2018-01-03 12:00:00,1888.12974735487,2805.41893920819,3362.19208654739,
2018-01-03 16:00:00,1860.953643905,2849.90688608496,3318.59824304964,
2018-01-03 20:00:00,1860.75948129016,2847.38104497724,3173.90256174592,
2018-01-04 00:00:00,1831.57727385128,2826.9218830394,2898.83420054162,
2018-01-04 04:00:00,1825.73376478036,2824.89256759344,2862.8916569868,
2018-01-04 08:00:00,1867.47795104115,2767.42668352765,4009.57252991306,
2018-01-04 12:00:00,1886.87304727235,2764.26293644227,3424.462262289,
2018-01-04 16:00:00,1892.96514643122,2745.56196453873,3576.37614584913,
2018-01-04 20:00:00,1887.5240951563,2727.57973650971,3489.19968127928,
2018-01-05 00:00:00,1834.60875591545,2779.14156153174,2059.24387712342,
2018-01-05 04:00:00,1879.86657728698,1183.64634213874,3316.70357412803,
2018-01-05 08:00:00,1997.22708333229,-0.173432147555119,2443.26830254194,
2018-01-05 12:00:00,2024.68336648225,-0.205917209359791,2541.85986331289,
2018-01-05 16:00:00,2043.44412184928,-0.257720332973199,2864.12056011878,
2018-01-05 20:00:00,2005.16767111223,-0.460146429638945,2599.56800572976,
2018-01-06 00:00:00,1987.18345876057,5059.11883610627,3153.63335774612,
2018-01-06 04:00:00,1739.0378590924,3188.71488520569,2215.46383554925,
2018-01-06 08:00:00,1744.95024203297,3180.45946848234,2001.73030258153,
2018-01-06 12:00:00,1770.34725106782,3138.65109088039,1314.44787670226,
2018-01-06 16:00:00,1743.6738651783,3508.78314108147,1958.27047264843,
2018-01-06 20:00:00,1749.26761887636,3451.82745855376,5385.20942047643,
2018-01-07 00:00:00,1770.4449889525,3473.92501592069,1720.24099539373,
2018-01-07 04:00:00,1635.64421216385,3425.30428697667,296.929071009947,
2018-01-07 08:00:00,1648.37123522101,3475.7127615413,895.79275658697,
2018-01-07 12:00:00,1766.74034314394,3439.24756803532,1394.2536637962,
2018-01-07 16:00:00,1752.8243540427,3435.24394262701,2597.9296851578,
2018-01-07 20:00:00,1754.24667404493,3405.85088966106,3975.93033788045,
2018-01-08 00:00:00,1742.63426368336,3443.39539024617,1798.53017485191,
2018-01-08 04:00:00,1766.67089763067,3427.5392880149,1358.74179520313,
2018-01-08 08:00:00,1774.69784254751,3399.13970432122,1677.66897516477,
2018-01-08 12:00:00,1721.25280480529,3365.41732708565,3323.7597620278,
2018-01-08 16:00:00,1711.65766200626,3321.44321308649,3622.51379024311,
2018-01-08 20:00:00,1724.20759052184,3324.76617440288,3447.60499493541,
2018-01-09 00:00:00,1714.26511863141,3338.08124574085,2871.44340210848,
2018-01-09 04:00:00,919.961807599653,1776.42391204712,2871.44340210848,
2018-01-09 08:00:00,262.696494602812,-275.04314300129,2871.44340210848,
2018-01-09 12:00:00,285.392465685666,-258.06518075749,2871.44340210848,
2018-01-09 16:00:00,327.84767083751,-243.88322174538,2871.44340210848,
2018-01-09 20:00:00,497.932949832629,-289.83882187235,2871.44340210848,
2018-01-10 00:00:00,1118.13317985191,-292.026191017142,2871.44340210848,
2018-01-10 04:00:00,1875.07267840437,2860.74666330625,3478.42782896352,
2018-01-10 08:00:00,1984.86133802901,3146.40978626558,3188.40991717485,
2018-01-10 12:00:00,2092.61035811174,3334.63955144694,3301.80140865706,
2018-01-10 16:00:00,2098.97767935732,3299.52371196625,5474.22905315744,
2018-01-10 20:00:00,2109.61133135024,3278.04208506729,4684.01289294838,
2018-01-11 00:00:00,2059.31604027037,3212.90638397524,2651.27324072773,
2018-01-11 04:00:00,2019.55685052327,3295.28022703166,1985.79390031871,
2018-01-11 08:00:00,1994.65675018066,3245.66629112224,2511.102358163,
2018-01-11 12:00:00,1934.36136586756,3326.22632263082,3872.95138487294,
2018-01-11 16:00:00,1954.9289306528,3436.022295412,1202.94180315787,
2018-01-11 20:00:00,1984.18774248901,3336.44105858142,3231.77830395491,
2018-01-12 00:00:00,1979.02013911942,3277.31116266361,2880.37188015726,
2018-01-12 04:00:00,1971.48584679125,3219.9915827303,3165.1326947168,
2018-01-12 08:00:00,2007.22980420301,3270.00502769517,2731.61934450369,
2018-01-12 12:00:00,2041.51513083497,3852.53427757301,-833.485613931606,
2018-01-12 16:00:00,2140.87830871425,3823.34697989501,4364.41720352252,
2018-01-12 20:00:00,2000.54813117856,3911.64628377094,2152.60343299699,
2018-01-13 00:00:00,2054.71618764015,3734.86937335258,2359.68594937133,
2018-01-13 04:00:00,1996.66176295318,3794.64201055202,4679.3844371085,
